Gene.symbol	P.Value	logFC
Gm12620	3.7e-06	-0.5770479
Popdc3	3.71e-06	0.59648612
Cldn2	3.74e-06	0.91151049
3632451O06Rik	3.74e-06	1.52071399
Larp1b	3.74e-06	-0.70986853
Fbxo31	3.75e-06	-1.01684112
Rfx7	3.75e-06	1.08707049
Wbscr17	3.75e-06	0.56054605
Atf3	3.77e-06	2.74249531
Raph1	3.8e-06	0.91425315
Hspa1a	3.82e-06	1.09038127
Sulf2	3.83e-06	0.96831182
Il17d	3.86e-06	0.69995168
Tpm3	3.92e-06	0.98517877
Frem1	3.92e-06	0.76661146
Tle3	3.96e-06	0.56445262
Kcnj12	3.99e-06	-0.76273974
Ppp3cb	3.99e-06	-0.57066854
Ntf5	4e-06	-0.66107964
Gm4951	4.02e-06	0.92845157
Prc1	4.02e-06	1.17164312
Hdac4	4.04e-06	1.06073196
Prep	4.1e-06	0.5366921
Sh3pxd2b	4.11e-06	0.92629569
Vcam1	4.11e-06	0.86536918
Klhl13	4.11e-06	0.7450083
Otud1	4.12e-06	1.34255306
Tnnt1	4.12e-06	1.97503058
Arf6	4.14e-06	0.85082404
Trim54	4.15e-06	-0.65589531
Klhl42	4.21e-06	0.61356441
Jam3	4.22e-06	0.92947349
Serpina3c	4.23e-06	1.61245688
Plp2	4.23e-06	0.84617845
Rragd	4.23e-06	-0.96266351
Sparcl1	4.24e-06	0.63072262
Smox	4.25e-06	-1.67078521
Mipep	4.26e-06	-0.59927214
Adamts17	4.3e-06	0.67357934
Kbtbd13	4.31e-06	-1.27300809
Tmem160	4.33e-06	-0.61549593
Gm9895	4.34e-06	-0.93583015
Asb11	4.35e-06	-0.90778175
Osgin2	4.37e-06	0.95149395
Gabrb2	4.46e-06	2.07885561
Isca1	4.54e-06	-0.66081458
Scn2a1	4.54e-06	0.95532539
Scn3b	4.54e-06	0.96439006
Atp8b1	4.56e-06	0.81839818
Krt8	4.58e-06	1.12304492
Coq8b	4.59e-06	0.69223151
Map1a	4.6e-06	0.89515998
Gusb	4.61e-06	0.5693348
Pfkfb1	4.62e-06	-1.10705641
Unc5a	4.66e-06	-0.88113656
Aspn	4.7e-06	1.11808518
Bicc1	4.72e-06	0.59930749
Rnd3	4.74e-06	0.98905253
Rnf128	4.76e-06	-1.02559105
Slc39a6	4.77e-06	0.59812101
Eml1	4.78e-06	-0.77504714
Me3	4.78e-06	-0.81767595
Coa7	4.79e-06	-0.68347401
Zfp52	4.85e-06	1.08527023
Plekha5	4.87e-06	0.58143029
Uhrf1bp1l	4.88e-06	0.97142269
Ywhaz	4.9e-06	0.52331447
Myh9	4.92e-06	0.76897044
Ggnbp1	5.02e-06	-0.79781351
Lrrc39	5.1e-06	-0.73577664
Bzw2	5.12e-06	-0.71121991
Rab4b	5.14e-06	0.53126261
Pla2g16	5.24e-06	-0.74147768
Egln1	5.3e-06	-0.62601722
Cuzd1	5.3e-06	-0.76906386
Tmem167b	5.31e-06	0.52408282
Adgra2	5.36e-06	0.69932141
Tcirg1	5.41e-06	0.59864131
Acot7	5.41e-06	-0.58358516
Fat3	5.42e-06	1.01032085
Cdkl3	5.43e-06	0.99140882
Polk	5.46e-06	-0.87217014
Rfxap	5.47e-06	-0.51480572
Cdh4	5.48e-06	-1.34082205
Midn	5.5e-06	0.67488694
Nlrc5	5.53e-06	1.08023428
Tdrd9	5.58e-06	0.73116235
Abat	5.59e-06	0.87746395
Pvalb	5.6e-06	-0.66188411
Zfp467	5.64e-06	-1.01583507
Aurka	5.69e-06	-0.75381932
Itm2b	5.7e-06	0.45839262
Itpkc	5.72e-06	0.60967913
Slc37a2	5.75e-06	0.70651532
Loxl1	5.78e-06	0.8920467
C2cd2	5.82e-06	-0.86610759
Atp6v0e	5.86e-06	0.92937311
Atp2a2	5.88e-06	1.77498175
Bcl7a	5.92e-06	0.70780524
Uqcrc1	5.93e-06	-0.514037
Rilpl1	5.97e-06	-0.95736317
Vwa3b	6.02e-06	-0.80311094
Cmc2	6.1e-06	-0.62561364
Fam129b	6.12e-06	0.76869042
Gm6548	6.13e-06	1.09682201
Mpc1	6.16e-06	-0.4822724
Pm20d2	6.18e-06	-1.05185289
Aldh2	6.19e-06	1.0367874
Lpin2	6.22e-06	0.73293835
Prkrir	6.24e-06	-0.69924443
Tnk2	6.25e-06	-0.62589787
Cacna2d4	6.32e-06	-0.8012372
Prkab2	6.38e-06	-0.93155297
4930577N17Rik	6.38e-06	-0.86254046
Tmem53	6.38e-06	0.82018846
Kin	6.39e-06	0.56708879
Cdc42se1	6.42e-06	0.63505346
Tango2	6.48e-06	-0.99813853
Isca1	6.5e-06	-0.6200855
Impdh1	6.51e-06	0.57946464
Notch2	6.53e-06	0.81434254
Pygo1	6.55e-06	-0.72957764
Soat1	6.56e-06	0.77481569
Srgap3	6.56e-06	0.89509763
Igf1	6.59e-06	0.68695366
Tex38	6.71e-06	-0.83062462
Mtpn	6.72e-06	0.71358681
Lgr4	6.74e-06	-1.01378094
Duoxa1	6.75e-06	0.64235563
Fn3k	6.81e-06	-0.72435769
Aimp2	6.82e-06	-1.24387651
Gabrb2	6.83e-06	1.20040455
1700028N14Rik	6.93e-06	0.6174994
Rab12	6.97e-06	-0.56778309
Cxcl16	6.99e-06	0.7213704
Pstk	7.03e-06	-0.73197912
Rab3gap2	7.08e-06	0.56663975
Tuba1c	7.1e-06	1.09373
Eif2s2	7.12e-06	-0.6106948
Lrrc49	7.12e-06	0.61456549
Sytl2	7.16e-06	0.93338767
Tuba1c	7.18e-06	1.08377459
Vkorc1l1	7.19e-06	-0.43544655
Trdn	7.23e-06	-0.76742324
Nadk2	7.26e-06	-0.60063842
Gfm2	7.26e-06	-0.51180875
Opn3	7.27e-06	0.97855076
Fap	7.31e-06	0.60681324
Mreg	7.35e-06	-0.71916519
Tmod4	7.36e-06	-0.69514073
Fam13a	7.37e-06	1.12778913
BC052040	7.42e-06	-0.68999953
Rabgef1	7.43e-06	-0.62860148
Pkd1	7.46e-06	0.58734799
Dzip3	7.49e-06	0.68531882
Prrx1	7.63e-06	0.70284315
2810416G20Rik	7.64e-06	-1.12993055
Bex1	7.65e-06	1.4636835
Dennd4a	7.65e-06	0.75131521
Anxa7	7.72e-06	0.6208031
Cdkn2aipnl	7.9e-06	-0.96676188
Kcnk2	7.92e-06	0.57461079
Arrdc3	7.99e-06	0.89590735
Ptrhd1	8.04e-06	-0.67589769
Ahnak2	8.04e-06	0.94406236
Ifngr1	8.06e-06	0.60764846
Pik3r3	8.06e-06	1.20320973
Scn3a	8.07e-06	0.67697184
Asb15	8.07e-06	-1.10616275
Rnf217	8.14e-06	0.60645784
Ndufv2	8.15e-06	-0.54506423
Ctps	8.16e-06	0.59167975
Nek7	8.17e-06	-0.5945991
Mfap2	8.18e-06	0.71797204
Tmem132a	8.2e-06	0.6927802
Anapc5	8.27e-06	-0.65978211
Dcakd	8.29e-06	0.58229393
Eif3l	8.34e-06	0.51865095
Tnni2	8.38e-06	-0.51506984
Ankrd9	8.43e-06	-1.17014794
Cep120	8.44e-06	0.53835672
Pfkm	8.45e-06	-0.55049588
Tuba1c	8.49e-06	1.0179756
Lbx1	8.59e-06	-0.66819486
Zc3h8	8.61e-06	-0.76293017
Timp1	8.63e-06	1.60182042
Klhdc3	8.65e-06	-0.54037121
Srd5a1	8.68e-06	0.82139545
Phyh	8.81e-06	-0.7538113
Mboat2	8.86e-06	0.96631522
Ncbp1	8.95e-06	0.61701054
Msn	9e-06	0.72483403
Hfe2	9.02e-06	-0.76849826
Gm6485	9.07e-06	0.61010828
Dtnb	9.11e-06	0.48959537
Atl2	9.14e-06	-0.57397062
Hnrnpu	9.16e-06	0.69574696
Igll1	9.18e-06	1.02628873
Acsl6	9.23e-06	-0.54256468
Fat3	9.25e-06	0.90078842
Acyp2	9.36e-06	-1.05832934
Fnbp1	9.39e-06	0.70115239
Glrx	9.44e-06	-1.03462953
Pdgfrl	9.46e-06	0.94260164
Emp1	9.46e-06	1.0841905
Agap1	9.47e-06	0.72701973
Nutf2	9.5e-06	-0.6568242
Slc1a4	9.54e-06	0.76272318
Smpdl3a	9.6e-06	-0.51781682
Gpr153	9.6e-06	0.63411585
Slc39a14	9.6e-06	0.61823563
Dnase2a	9.62e-06	0.63400296
Ptpn3	9.67e-06	-0.93416384
2010111I01Rik	9.67e-06	0.63273029
Ube2g2	9.75e-06	0.44219978
Hhip	9.75e-06	0.752546
Ppp1r9a	9.76e-06	0.5869918
Mettl22	9.77e-06	-0.76739549
Abr	9.78e-06	0.48862211
Spred1	9.92e-06	0.50414279
Rrp1b	9.99e-06	0.63851945
Edil3	1.01e-05	0.77422184
Ammecr1	1.02e-05	0.58720403
Ethe1	1.03e-05	-0.73313345
Rph3al	1.03e-05	-0.49936139
Tma7	1.04e-05	-0.57673879
Irgm1	1.06e-05	0.7883381
Slc35f5	1.06e-05	0.96339585
Gm15448	1.06e-05	0.57611792
Tpm3	1.06e-05	1.71626567
Fndc5	1.06e-05	-1.08463163
Smad2	1.06e-05	0.64034696
Zfp365	1.07e-05	1.67607662
Map3k7	1.08e-05	0.67323468
Sh2d4a	1.08e-05	0.77182544
Tlr7	1.08e-05	1.00047843
Dapk1	1.08e-05	1.10810482
Casc4	1.09e-05	0.80353683
Dcaf6	1.09e-05	-0.50871326
Zfyve9	1.1e-05	-0.69663377
Fuom	1.1e-05	-0.54405788
Zhx3	1.1e-05	0.61937524
Mir382	1.11e-05	0.85919331
Zfp652	1.13e-05	-0.59043797
Fntb	1.13e-05	0.53652351
Myh7	1.13e-05	2.33046237
Slc38a4	1.13e-05	-0.85669644
Ankrd46	1.14e-05	0.51265567
Bgn	1.14e-05	1.0622767
Akap7	1.15e-05	0.50120068
Sla	1.15e-05	0.63295701
Fam65a	1.15e-05	0.68596844
Eif3d	1.16e-05	0.49697311
Prmt1	1.16e-05	0.54662383
Wnt4	1.16e-05	-1.27806773
Rgs10	1.16e-05	1.10993458
Sdhaf3	1.16e-05	-0.51950384
Xrn2	1.17e-05	0.58279604
Lrp12	1.17e-05	0.5365759
Nav3	1.17e-05	0.59699012
Svip	1.18e-05	-0.65960116
Spg7	1.2e-05	-0.47389066
Ppm1l	1.2e-05	-0.86451982
Scube2	1.2e-05	1.02419788
Abca5	1.21e-05	0.86132887
Pld1	1.21e-05	0.89478903
Fam46a	1.21e-05	0.57440508
Rap2b	1.22e-05	0.64973761
Zfp367	1.25e-05	-0.73928941
Gm37013	1.25e-05	0.48161891
Myh2	1.26e-05	1.00951966
Pcbd1	1.26e-05	1.01747635
Scn2a1	1.27e-05	1.16846105
Ostm1	1.27e-05	-0.75054891
Snurf	1.27e-05	-0.99442524
Asap2	1.27e-05	0.80487915
Gcdh	1.28e-05	-0.64031014
Prmt2	1.28e-05	0.69177304
Sh3rf2	1.29e-05	-1.2960008
Col10a1	1.29e-05	0.7732066
Colec12	1.3e-05	0.57912262
Myoz2	1.3e-05	1.35309661
Bach2	1.3e-05	0.7629366
Atp1a1	1.32e-05	0.81908781
Kcnj11	1.32e-05	-0.59234597
9530068E07Rik	1.32e-05	0.48278619
Gm5105	1.32e-05	-0.65718931
Csrp2	1.33e-05	0.53432877
Plxna4	1.33e-05	0.83940037
Mxra8	1.33e-05	0.68256114
Cox7a1	1.34e-05	-0.50627472
Pitpnc1	1.34e-05	-0.85243608
Gpc4	1.34e-05	0.58642905
Rtn2	1.34e-05	-0.62066757
Derl1	1.35e-05	0.51846625
Nup210	1.36e-05	-1.11509923
Adamtsl5	1.36e-05	0.81347229
Aldh3a2	1.37e-05	0.65329135
Dnmt1	1.37e-05	0.46835193
Ksr1	1.37e-05	-0.71195279
Atp6v1h	1.37e-05	0.47791901
Zdhhc9	1.38e-05	0.54655684
Myo9a	1.38e-05	0.69549014
Gm3873	1.38e-05	-0.72774227
Lilr4b	1.39e-05	0.70896506
Sdr39u1	1.4e-05	-0.63657827
Tgfbr1	1.4e-05	0.48175031
Phka1	1.4e-05	-1.09088313
Asb2	1.41e-05	-0.9804252
Gm12504	1.42e-05	0.50916934
Aff2	1.42e-05	0.56312709
Pkd2	1.42e-05	0.66117015
Mrc2	1.42e-05	0.62649157
Islr	1.42e-05	0.65941149
1810058I24Rik	1.44e-05	0.66047611
Ndufb8	1.44e-05	-0.75143636
Ctss	1.45e-05	1.15858793
Xirp1	1.45e-05	1.41938698
Srbd1	1.45e-05	0.49020185
Alas1	1.45e-05	-0.58397421
Reep6	1.46e-05	0.73503537
Idh3a	1.46e-05	-0.685067
Rap1gap2	1.47e-05	0.48135038
Pgk1	1.48e-05	-0.5734628
Pgk1	1.48e-05	-0.5734628
Wbscr27	1.48e-05	0.85662723
Gpx1	1.48e-05	0.53575404
Sema3f	1.48e-05	0.64314642
Cox8b	1.49e-05	-0.70598931
1500011K16Rik	1.49e-05	-0.97111334
Aoah	1.49e-05	0.63869777
Ctnna1	1.5e-05	0.5222488
Tnnc2	1.5e-05	-0.42005077
Elovl1	1.5e-05	0.82373104
Btbd11	1.5e-05	0.89373705
Fam214b	1.51e-05	0.58340607
Col14a1	1.52e-05	0.92944127
Mycl	1.52e-05	0.93463843
Tmem19	1.52e-05	0.82803658
Atp6v1g1	1.52e-05	-0.67816439
Epb41	1.53e-05	-0.72030441
Rhbdl1	1.54e-05	-0.67465868
Galk2	1.54e-05	0.70603914
Uqcr10	1.54e-05	-0.53360861
Pgam2	1.56e-05	-0.61564128
Syde2	1.57e-05	0.72902998
Rorc	1.57e-05	-0.9925136
Arhgef2	1.57e-05	1.07943795
2310081J21Rik	1.57e-05	-1.06872192
2310081J21Rik	1.57e-05	-1.06872192
2310081J21Rik	1.57e-05	-1.06872192
App	1.58e-05	0.86072544
Htatip2	1.58e-05	0.53839253
l7Rn6	1.59e-05	-0.76453238
Apaf1	1.59e-05	0.73477952
Ttll12	1.6e-05	0.61548597
2310057M21Rik	1.6e-05	0.67587379
Kcmf1	1.6e-05	-0.52099827
Spats2l	1.61e-05	0.57046053
Rbms1	1.62e-05	0.42528883
Nop58	1.62e-05	0.5028553
Nkain2	1.63e-05	0.4433783
Atad2	1.64e-05	0.55645937
Smo	1.65e-05	0.56293118
P2rx4	1.65e-05	0.73008635
Ctsz	1.66e-05	0.56055475
Atpif1	1.66e-05	0.69268662
Ndufb2	1.67e-05	-0.76907405
Wdr1	1.68e-05	0.90522173
Myh6	1.69e-05	1.06262874
Vamp1	1.69e-05	-0.65790245
Hdac4	1.69e-05	1.22195148
Tmem116	1.69e-05	0.57837147
Pik3r1	1.7e-05	0.80785442
Trib1	1.7e-05	0.73964698
Lsmem1	1.7e-05	-1.24985268
Khk	1.72e-05	-0.64630007
B4galnt3	1.73e-05	0.68174805
Strbp	1.74e-05	-0.72143296
Lrtm1	1.75e-05	-1.15570608
Carhsp1	1.76e-05	1.08667931
Ppp1r1a	1.76e-05	-1.80721778
Fras1	1.77e-05	0.94872558
Zfp318	1.77e-05	0.62421075
Col12a1	1.78e-05	0.76799743
Pgk1	1.78e-05	-0.55858837
Zcrb1	1.78e-05	-0.71892918
Whsc1	1.78e-05	0.61797916
Dlg1	1.79e-05	-0.54652193
Cttn	1.81e-05	0.51046155
Zzz3	1.83e-05	0.53492227
Rras2	1.84e-05	0.58179401
Xirp2	1.84e-05	0.52507222
Serpine2	1.84e-05	-0.68285674
Ppp1r12a	1.84e-05	0.72028404
Ankrd10	1.85e-05	0.99985012
Zdhhc13	1.86e-05	0.69252097
Atg13	1.89e-05	0.67554502
Sfn	1.9e-05	0.65262783
Ptpn3	1.91e-05	-0.91310391
Gm6485	1.91e-05	0.56596135
Pkia	1.92e-05	-0.44716674
Chtf8	1.94e-05	0.478224
Nudt14	1.95e-05	0.83410236
Hint3	1.95e-05	-0.58977828
Jag2	1.95e-05	0.57897914
Tcf12	1.97e-05	0.58727005
Gm12504	1.97e-05	0.52231142
Atp6v1g1	1.98e-05	-0.64533441
Pard6g	1.98e-05	0.54869186
Prkdc	1.98e-05	0.94352689
Serpinb1a	1.99e-05	1.4450446
Lpar1	2e-05	0.43355395
Tax1bp3	2.02e-05	0.52822867
Slc35e3	2.02e-05	0.5413679
Gdi2	2.03e-05	0.58936791
Stac3	2.03e-05	-0.57964634
Ifi203	2.04e-05	0.88392449
Oplah	2.04e-05	-0.73987613
Ak3	2.05e-05	-0.53071509
Ms4a6c	2.05e-05	1.29161403
Ndufs2	2.06e-05	-0.53396293
Shc4	2.06e-05	0.67165602
Il13ra1	2.06e-05	0.74214502
Myo9a	2.07e-05	0.59883203
Astn2	2.07e-05	0.77735263
Iffo2	2.08e-05	0.5898106
Ccnd3	2.09e-05	0.46894843
Plxna2	2.09e-05	0.99525996
Eya3	2.09e-05	0.4914339
Ptpn3	2.09e-05	-0.86335487
Chac2	2.1e-05	-0.76484901
Ndufb6	2.11e-05	-0.44077202
Gm13202	2.11e-05	-0.44354335
Sun2	2.12e-05	-0.62311024
Cd24a	2.14e-05	-0.65991727
Gm10134	2.15e-05	0.56630286
Plagl1	2.15e-05	0.72484768
Pcsk5	2.16e-05	0.6294614
Scrn3	2.18e-05	-0.6123837
Tulp4	2.18e-05	0.81585043
Trpt1	2.19e-05	-0.46351788
Cstb	2.2e-05	0.64615788
Mir703	2.2e-05	1.27297965
Scpep1	2.22e-05	0.52063187
Cdnf	2.23e-05	-0.92355011
Rnf150	2.23e-05	-0.77654199
Leprot	2.24e-05	0.58692283
Pptc7	2.24e-05	-0.70449659
Flnc	2.25e-05	0.9658388
Epm2a	2.25e-05	-0.63997484
Tlr8	2.27e-05	0.7896193
Mettl9	2.27e-05	0.42906886
Ube2g1	2.28e-05	-0.58081261
Tra2a	2.28e-05	0.61089892
Frmd8os	2.28e-05	-0.69844588
Nat6	2.29e-05	1.07146463
Kif1c	2.29e-05	-0.60796674
Tln1	2.29e-05	0.65638012
Cilp	2.3e-05	2.26615144
Akap11	2.3e-05	0.65353572
Twsg1	2.3e-05	0.56216145
Fbln1	2.31e-05	0.7540907
Tax1bp3	2.31e-05	0.53080202
Slk	2.33e-05	0.54901154
Ggt5	2.33e-05	0.59275117
Gabarap	2.33e-05	0.3859679
Stk17b	2.34e-05	0.86610202
Parp4	2.35e-05	0.62777206
Wdr78	2.36e-05	0.86667714
Kl	2.38e-05	-0.67287403
Tatdn1	2.38e-05	-0.60508364
Pfn2	2.39e-05	-0.63604461
Pde5a	2.41e-05	0.76814517
Ccnl2	2.42e-05	0.59175535
Arhgap35	2.43e-05	0.55978569
Lactb	2.43e-05	-0.55050801
Vapa	2.44e-05	-0.5839211
Cuedc1	2.45e-05	-0.66210392
Primpol	2.47e-05	0.70274855
Myo9b	2.49e-05	0.61935884
Fggy	2.5e-05	1.02649462
Inpp5d	2.51e-05	0.57958729
Ric8a	2.51e-05	0.6153542
Snx7	2.51e-05	0.56343378
Ptprj	2.51e-05	0.64448075
Adgre1	2.52e-05	0.80489204
Nf1	2.54e-05	0.73299492
Tfb2m	2.55e-05	-0.48620467
Slc44a1	2.56e-05	0.72704927
Ulk2	2.56e-05	-0.50902629
Eif3j2	2.57e-05	-0.51168407
Fam189b	2.57e-05	-0.43817143
Npr3	2.6e-05	1.57749795
Slc25a5	2.6e-05	0.70920458
Rny1	2.6e-05	-1.55157743
Nup188	2.6e-05	0.65637054
Slc4a3	2.61e-05	0.74042108
Pafah1b2	2.61e-05	0.45384381
Ube2e2	2.61e-05	0.46598897
Ctps2	2.63e-05	0.57832206
Dchs1	2.63e-05	0.72346589
Fgfr4	2.63e-05	0.66911509
Arfgap3	2.64e-05	0.81573089
Akap11	2.64e-05	0.63829794
Lrrc38	2.65e-05	-1.1171488
Fdft1	2.65e-05	-0.65614605
Cited4	2.67e-05	-0.78179787
Fer	2.68e-05	0.52007238
Rbm5	2.68e-05	0.46443172
Scn1b	2.69e-05	-0.44349861
Ap4s1	2.7e-05	-0.55966347
Bre	2.71e-05	0.44499482
Tnfrsf21	2.72e-05	0.60279453
Cd53	2.72e-05	0.93542861
Nrbp2	2.72e-05	1.11270808
Mir495	2.74e-05	0.59255271
Celsr2	2.74e-05	-0.41559147
Maml2	2.75e-05	0.76752781
Prkca	2.76e-05	-0.65347643
Dpf3	2.76e-05	-0.59153298
Abcc4	2.77e-05	-0.76105639
Pa2g4	2.78e-05	0.46379353
Klf5	2.78e-05	0.83759654
Chchd3	2.79e-05	-0.55541141
Cmya5	2.8e-05	-0.55971979
Eya1	2.8e-05	-0.53419469
Fmc1	2.82e-05	-1.14090841
Cox5a	2.82e-05	-0.6035654
Emd	2.84e-05	0.45535948
Asb12	2.84e-05	-0.5602521
Vcan	2.85e-05	1.00491062
Ms4a6d	2.85e-05	1.52972652
Klhl31	2.86e-05	-0.62624953
Tfb2m	2.88e-05	-0.48276119
D16Ertd472e	2.9e-05	0.76322563
Nmbr	2.91e-05	-0.65555467
Mtch1	2.92e-05	0.55280472
Phxr4	2.94e-05	1.40002171
Gstm5	2.97e-05	-0.64006557
Dennd4a	2.97e-05	0.64737957
BC067074	3e-05	0.69200911
Tulp4	3e-05	0.52668006
Klhl41	3e-05	0.56189966
Cd44	3.02e-05	0.70279561
Lancl1	3.06e-05	0.72924534
H2-T9	3.07e-05	0.73162377
Fam129a	3.09e-05	0.71867371
Amot	3.09e-05	1.10720383
Crispld1	3.09e-05	0.79603684
Mbnl1	3.11e-05	-0.49897987
Klhl31	3.14e-05	-0.59618331
Asb4	3.15e-05	-0.7272902
Igf2r	3.16e-05	0.84409109
Slc29a3	3.2e-05	0.43209965
Alg3	3.25e-05	-0.54672402
Psat1	3.25e-05	0.74413679
Ccdc91	3.28e-05	-0.78612697
D1Ertd622e	3.3e-05	-1.03874275
Ptpn3	3.3e-05	-1.03013288
Lum	3.32e-05	0.7999331
Cpeb3	3.33e-05	-0.65674721
Rnf145	3.33e-05	0.55196169
Zak	3.35e-05	0.78638181
Gpx8	3.36e-05	0.85767728
Tmem173	3.36e-05	0.52174968
Pecr	3.37e-05	-0.59393105
Pitpna	3.39e-05	-0.47599793
Dcx	3.39e-05	0.68440905
Calm2	3.4e-05	-0.63915354
Tsc22d1	3.41e-05	0.57408327
Fundc1	3.43e-05	-0.50752332
Rcan1	3.43e-05	1.20804544
Dll1	3.45e-05	0.67502971
Vwa3b	3.46e-05	-0.52508727
Tgfb2	3.47e-05	0.78641964
Gm13202	3.49e-05	-0.44018321
Ptges3l	3.52e-05	-0.68737533
Fbxo47	3.52e-05	0.48517609
Nisch	3.53e-05	0.53683393
Myo9a	3.54e-05	0.92466383
Acap2	3.54e-05	0.60217785
Atp5g3	3.57e-05	-0.47641576
Gm13889	3.57e-05	1.20113401
Alkbh5	3.58e-05	-0.48099963
Slc15a5	3.59e-05	-0.96397541
Polr3e	3.61e-05	0.62713696
Plp1	3.62e-05	0.88873685
Tex2	3.62e-05	-0.56763816
Bcl2l1	3.63e-05	0.69932705
1810041L15Rik	3.65e-05	1.24155128
Gm10052	3.65e-05	0.53902501
Tor1aip1	3.66e-05	-0.55413774
Mest	3.67e-05	1.48786936
Cyp20a1	3.7e-05	0.51924165
Cma1	3.7e-05	0.50623627
Lrrc14b	3.7e-05	-0.90577515
Uba5	3.7e-05	0.58026944
Gm10052	3.71e-05	0.56354875
Prdm8	3.71e-05	-0.50050108
Mpv17l	3.72e-05	0.6126283
Myo9a	3.74e-05	0.60538983
Gbp3	3.74e-05	0.77928226
Kcnn2	3.77e-05	-0.80032383
Ndufab1	3.8e-05	-0.52169572
Gm10052	3.82e-05	0.50867236
Gpr65	3.85e-05	0.94873298
Pkm	3.89e-05	-0.53474349
Stt3a	3.9e-05	0.6895071
Pcyt1a	3.9e-05	-0.52188373
Zfc3h1	3.91e-05	0.97917386
Vwa3b	3.92e-05	-1.09697665
Canx	3.94e-05	0.49805279
Dennd4a	3.94e-05	0.59418878
Pcgf5	3.96e-05	-0.64020632
Endog	3.96e-05	-0.95687536
Ankrd40	3.96e-05	-0.4057287
Ctnna3	3.98e-05	-0.89025132
Pdpn	3.99e-05	0.54129337
Cystm1	4.01e-05	-0.42857383
Rgcc	4.04e-05	0.84853214
Nefh	4.04e-05	-0.59484321
Xpo6	4.05e-05	0.76069274
Sdc2	4.1e-05	0.75183349
Slc25a3	4.11e-05	-0.4810562
Nfkbie	4.12e-05	0.67788406
Aldh5a1	4.13e-05	-0.55395063
Fzd3	4.15e-05	0.71091827
Hoga1	4.16e-05	0.75760378
Atp5e	4.16e-05	-0.64521288
Tmcc2	4.17e-05	-0.80104213
Col5a2	4.18e-05	0.70871417
Ccl5	4.2e-05	0.58816681
Garem	4.21e-05	0.79213453
Ankrd33b	4.22e-05	-0.56006593
Tmem126b	4.23e-05	-0.53391547
Odf3l2	4.23e-05	-1.92321827
Tead4	4.25e-05	0.72051944
Adamts10	4.27e-05	0.62129682
Il20rb	4.32e-05	0.51171117
Gstm1	4.37e-05	-0.59066731
Orai2	4.37e-05	0.72964135
Slc25a5	4.38e-05	0.70372364
Trdn	4.38e-05	-0.49526016
Gm13202	4.39e-05	-0.43799256
Dnajc21	4.44e-05	-0.55081197
Elf4	4.44e-05	0.41830949
Arpc2	4.47e-05	0.42628183
Eif4ebp2	4.47e-05	-0.64599297
Sbf2	4.48e-05	0.59699197
Cobll1	4.49e-05	0.81296791
Phka2	4.49e-05	0.54001026
Tuba1c	4.51e-05	1.10341687
Sec61a1	4.51e-05	0.57588625
Mir23b	4.52e-05	0.98052928
Acyp1	4.54e-05	-0.97260463
Rab3a	4.57e-05	-0.60913262
Atoh8	4.57e-05	0.48296117
Igf1r	4.59e-05	0.61979415
Kif1c	4.6e-05	-0.95283653
Efcab6	4.61e-05	-0.63558813
Dcaf7	4.65e-05	0.47592995
Cfd	4.67e-05	1.52633431
Cmbl	4.68e-05	-1.03624746
Lpin1	4.7e-05	-0.81989639
Rbm38	4.7e-05	-0.57870206
Ccdc146	4.71e-05	-0.66775114
Pcp4l1	4.75e-05	1.16015088
Ndufv3	4.75e-05	-0.4897515
Snord16a	4.76e-05	-1.03853582
Pld5	4.77e-05	1.44990038
LOC102631971	4.77e-05	2.36172435
Csf1r	4.78e-05	0.57675666
Olfm1	4.79e-05	0.67844854
Mki67	4.79e-05	1.17898461
Dym	4.8e-05	-0.60559992
Emilin1	4.8e-05	0.47584616
Mir675	4.83e-05	0.84279343
Cables1	4.89e-05	0.66197533
Rrm2	4.9e-05	0.69544585
Myo9a	4.92e-05	0.78331496
Myo9a	4.93e-05	0.95081393
Lrig1	4.94e-05	-0.68731449
Mdm2	4.94e-05	1.19380112
Snord22	4.97e-05	-1.31370625
Alpl	4.97e-05	-0.84092325
Tfpi2	5.01e-05	0.52031118
Mtmr12	5.02e-05	0.64948921
Cd72	5.04e-05	0.46446617
Tgfbr2	5.04e-05	0.64594362
H2afz	5.07e-05	-0.4812411
Rnf213	5.08e-05	0.72626557
Trit1	5.12e-05	0.48835468
C1qtnf3	5.15e-05	0.77506634
Gabarapl2	5.16e-05	-0.38348836
Mnda	5.18e-05	0.90605723
Sema4d	5.2e-05	-0.57534262
Slc30a5	5.21e-05	0.4443353
Alpk1	5.23e-05	0.76397796
4632427E13Rik	5.23e-05	0.82894749
Sfrp1	5.26e-05	1.05076074
Apoe	5.27e-05	0.73618151
Cand1	5.28e-05	0.74962911
Ttc12	5.29e-05	0.49100891
BC005537	5.32e-05	0.43811362
Gm10052	5.32e-05	0.48848212
Sept5	5.35e-05	0.40774818
Trim30a	5.35e-05	0.84938525
Capn6	5.38e-05	1.32112253
Chsy1	5.38e-05	0.50853046
Tor3a	5.38e-05	0.72203374
Hnrnpk	5.4e-05	0.43743646
Gm10482	5.42e-05	-0.66555583
Gm10482	5.42e-05	-0.66555583
Mmab	5.43e-05	-0.56377966
Apip	5.43e-05	-0.53078859
Igdcc4	5.43e-05	0.80558616
